Date,High,Low,Open,Close,Amount,Count,Vol
2024-05-12 14:33:00,61020.61,61015.19,61020.6,61015.19,0.121341,18,7404.01148969
2024-05-12 14:34:00,61018.17,61015.19,61015.19,61017.93,0.012834,7,783.09984528
2024-05-12 14:35:00,61018.17,61012.34,61012.34,61013.79,0.010463,4,638.40137076
2024-05-12 14:36:00,61018.18,61018.17,61018.17,61018.18,0.000529,2,32.27861373
2024-05-12 14:37:00,61018.17,61000.25,61018.17,61000.25,0.068369,12,4171.30799775
2024-05-12 14:38:00,61005.28,60993.82,60993.82,61005.27,0.105176,18,6416.08567764
2024-05-12 14:39:00,61005.27,60992.37,61005.27,60992.37,0.01008350150920492,7,615.0983694199999
2024-05-12 14:40:00,60992.36,60979.46,60992.36,60979.46,0.06993628213183879,13,4265.25559165
2024-05-12 14:41:00,60979.02,60966.56,60979.02,60966.56,0.024096,8,1469.2202027
2024-05-12 14:42:00,60957.46,60950.88,60954.68,60957.33,0.213933,25,13040.2595061
2024-05-12 14:43:00,60954.86,60946.6,60954.86,60946.6,0.02462,9,1500.58763222
2024-05-12 14:44:00,60953.65,60943.74,60943.74,60949.46,0.05892374786913258,19,3591.2942798
2024-05-12 14:45:00,60974.42,60953.58,60953.59,60973.68,0.194679,41,11869.62382841
2024-05-12 14:46:00,60978.34,60973.04,60973.68,60973.04,0.036977,11,2254.6104218
2024-05-12 14:47:00,60973.04,60956.86,60973.04,60956.86,0.022329,9,1361.30025283
2024-05-12 14:48:00,60956.87,60956.87,60956.87,60956.87,0.002894,9,176.40918178
2024-05-12 14:49:00,60957.79,60957.79,60957.79,60957.79,0.000918,1,55.95925122
2024-05-12 14:50:00,60954.86,60953.67,60954.85,60953.67,0.006968631799334786,10,424.77040588999995
2024-05-12 14:51:00,60953.67,60953.66,60953.66,60953.66,0.003650851290988713,5,222.53275312
2024-05-12 14:52:00,60945.89,60945.89,60945.89,60945.89,0.000736,1,44.85617504
2024-05-12 14:53:00,60952.21,60945.89,60945.9,60952.21,0.071801,14,4376.1841027
2024-05-12 14:54:00,60953.65,60952.2,60952.2,60953.65,0.04162,14,2536.8383447
2024-05-12 14:55:00,60952.2,60947.28,60952.2,60947.28,0.025416923560506136,9,1549.19930178
2024-05-12 14:56:00,60947.29,60947.29,60947.29,60947.29,0.001476,5,89.95820004
2024-05-12 14:57:00,60951.41,60946.94,60951.41,60946.94,0.049104,14,2992.89020329
2024-05-12 14:58:00,60942.57,60942.56,60942.56,60942.56,0.1507,4,9184.0437961
2024-05-12 14:59:00,60942.56,60942.56,60942.56,60942.56,0.0,0,0.0
2024-05-12 15:00:00,60942.57,60942.57,60942.57,60942.57,0.000501,2,30.53222757
2024-05-12 15:01:00,60962.3,60942.57,60942.57,60962.3,0.276771,28,16868.81399639
2024-05-12 15:02:00,60962.3,60962.3,60962.3,60962.3,0.0,0,0.0
2024-05-12 15:03:00,60966.3,60955.86,60966.3,60955.86,0.174786,17,10655.83014406
2024-05-12 15:04:00,60955.87,60955.87,60955.87,60955.87,0.005928,1,361.34639736
2024-05-12 15:05:00,60955.87,60955.86,60955.86,60955.87,0.004931,2,300.57337847
2024-05-12 15:06:00,60965.8,60948.7,60955.87,60949.67,0.18969733875948747,47,11563.41020205
2024-05-12 15:07:00,60995.98,60953.66,60953.66,60995.97,0.08049635083519326,24,4908.63215817
2024-05-12 15:08:00,60992.37,60992.36,60992.37,60992.36,0.004181,7,255.00907275
2024-05-12 15:09:00,60992.36,60992.36,60992.36,60992.36,0.000282,1,17.19984552
2024-05-12 15:10:00,60988.39,60975.54,60988.39,60975.54,0.148563,11,9060.1960835
2024-05-12 15:11:00,60975.55,60975.54,60975.55,60975.54,0.001318,2,80.3657667
2024-05-12 15:12:00,60975.54,60969.11,60975.54,60969.12,0.007142,7,435.46861202
2024-05-12 15:13:00,60969.12,60969.12,60969.12,60969.12,0.0005005,1,30.51504456
2024-05-12 15:14:00,60962.63,60957.58,60962.6,60958.57,0.115721,24,7054.40103901
2024-05-12 15:15:00,60957.58,60949.7,60957.58,60955.89,0.209715,22,12782.1606953
2024-05-12 15:16:00,60955.89,60949.7,60955.89,60949.7,0.00982,5,598.56460084
2024-05-12 15:17:00,60949.69,60894.52,60949.69,60894.52,0.333525,31,20312.93445256
2024-05-12 15:18:00,60904.3,60858.16,60893.26,60872.39,1.060872,80,64583.78364619
2024-05-12 15:19:00,60885.83,60784.0,60869.36,60810.77,0.702855,118,42742.86750987
2024-05-12 15:20:00,60819.36,60794.01,60807.29,60794.01,0.06664758951771278,15,4052.70588368
2024-05-12 15:21:00,60826.18,60790.47,60790.47,60826.18,0.152487,27,9273.64182775
2024-05-12 15:22:00,60836.26,60826.18,60836.26,60827.02,0.009727,9,591.73535707
2024-05-12 15:23:00,60847.03,60827.02,60827.02,60842.26,0.014014,9,852.52973518
2024-05-12 15:24:00,60839.05,60819.95,60839.05,60821.09,0.18337,18,11154.10420703
2024-05-12 15:25:00,60824.56,60805.05,60813.91,60805.05,0.270618,13,16457.62043366
2024-05-12 15:26:00,60815.73,60805.52,60813.31,60814.9,0.154775193665356,23,9412.34097245
2024-05-12 15:27:00,60813.31,60800.45,60813.31,60800.45,0.010189125672918539,6,619.60259587
2024-05-12 15:28:00,60823.79,60804.38,60804.38,60818.95,0.075002,17,4561.70491334
2024-05-12 15:29:00,60824.81,60819.57,60822.91,60824.81,0.015359,3,934.15055901
2024-05-12 15:30:00,60818.93,60807.48,60818.93,60807.48,0.097524,16,5930.87288408
2024-05-12 15:31:00,60810.09,60781.67,60810.09,60781.68,0.048649,21,2957.96765908
2024-05-12 15:32:00,60774.72,60680.86,60774.72,60705.77,1.177815,146,71528.73486896
2024-05-12 15:33:00,60702.4,60620.09,60702.4,60663.13,0.7127854640820677,90,43224.56927186
2024-05-12 15:34:00,60691.49,60651.04,60655.24,60688.83,0.17254259346242135,47,10467.67263411
2024-05-12 15:35:00,60722.65,60688.83,60698.12,60714.51,0.09587,36,5819.34333765
