Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,xBuy,xSell,xProfit,xPosition,xCash,xAvgCost,xBuyOrder,xSellOrder,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2024-01-01,0.5829,0.6536,0.551,0.6516,28247186.636724688,1.0,1.1183816067157788,0.44793416666666663,2024-04-10,0.0,0.6516,0.669,0.026703499079189896,True,0.6536,0.6415,-0.018512851897184768,16.064871481028153,-2.6418325464179304,0.6536,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.37865480358461656,0.0
2024-01-02,0.6517,0.7976,0.6508,0.7392,42088195.25467144,1.0,1.2646315385120588,0.5112908333333333,2024-04-10,0.0,0.7392,0.669,-0.09496753246753242,True,0.7919,0.6415,-0.1899229700719789,29.22936496146948,-1.2666795476419281,0.715888368246968,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.48191221596480877,0.0
2024-01-03,0.7389,0.7919,0.5418,0.7884,61242617.5183844,0.0,1.3818814258971983,0.5905725,2024-04-10,0.0,0.7884,0.669,-0.15144596651445963,False,,,,,-0.5223635979568826,,,,,,,,,,,,,,,
2024-01-04,0.7894,0.9421,0.7423,0.8357,63443219.5557139,1.0,1.5621411600772448,0.6254516666666667,2024-04-10,0.0,0.8357,0.669,-0.1994734952734234,False,,,,,0.8601853647206212,,,,,,,,,,1.0,0.0,10/1,9.975283743707422,0.5245606040676225,0.0
2024-01-05,0.8356,0.85,0.6875,0.7188,61991543.93749166,0.0,1.6651348583150551,0.6618258333333333,2024-04-10,0.0,0.7188,0.669,-0.06928213689482465,False,,,,,-2.556727399275161,,,,,,,,,,,,,,,
2024-01-06,0.7189,0.7329,0.6023,0.6415,59742990.09480719,0.0,1.7083774447391038,0.5360358333333333,2024-04-10,0.0,0.6415,0.669,0.042868277474668925,False,,,,,-4.81615731079674,,,,,,,,,,,,,,,
2024-01-07,0.6416,0.701,0.6269,0.6848,45424979.70796945,0.0,1.7353174695946854,0.4516016666666667,2024-04-10,0.0,0.6848,0.669,-0.023072429906541903,False,,,,,-3.5505258079651156,,,,,,,,,,,,,,,
2024-01-08,0.6849,0.7213,0.58,0.6796,30141406.19118163,0.0,1.761293728263032,0.49134333333333335,2024-04-10,0.0,0.6796,0.669,-0.015597410241318332,False,,,,,-4.81615731079674,,,,,,,,,,,,,,,
2024-01-09,0.6795,0.754,0.6557,0.7124,35836244.19691257,0.0,1.7884782133653252,0.47825083333333335,2024-04-10,0.0,0.7124,0.669,-0.06092083099382373,False,,,,,-4.81615731079674,,,,,,,,,,,,,,,
2024-01-10,0.7125,0.7196,0.6268,0.6501,39444145.56728466,0.0,1.7977022385970325,0.5063958333333334,2024-04-10,0.0,0.6501,0.669,0.029072450392247484,False,,,,,-4.81615731079674,,,,,,,,,,,,,,,
